Name,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16
大東醫院,0.752394,0.5243446,0.6085193,0.781759,1.0243278,0.3304693,0.4078858,0.6618134,0.6241331,0.8166295,0.5390836,0.8540373,1.0316369,0.4599816,0.804829,0.4369993,0.5239031,0.9868421,0.7886435,0.2816901,0.3673769,0.4950495,0.4739336,0.658858,0.2079002,0.4151531,1.0658307,0.6756757,0.4460967,1.2596221,1.1126565,0.5405405,0.5003574,0.8338679,1.1933174,0.446761
瑞生醫院,1.9565217,0.5291005,0.2881844,1.1594203,1.1331445,2.1680217,1.9178082,1.6574586,0.5617978,1.4851485,1.9230769,0.5181347,1.0989011,0.212766,0.5208333,1.0869565,0,0.2421308,0.9876543,0.8403361,0.9174312,0.5154639,1.4669927,1.1428571,1.1494253,0.5181347,1.9002375,0.867052,1.1792453,1.2121212,1.344086,0.617284,0.2531646,1.8648019,0.8,2.0725389
義大醫療財團法人義大癌治療醫院,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,1.485149,4.115226,1.831502,1.66205,0.35461,1.459854,1.183432,0.985222,1.036269,1.078582,1.351351,1.07362
高雄市立旗津醫院,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
天主教聖功醫療財團法人聖功醫院,1.4131898,1.1250827,1.2241775,1.0620915,1.6060862,1.0673235,1.6784452,2.0950846,2.0392157,1.0574018,1.1990408,1.1948529,2.0488574,1.0335917,1.6342412,1.6579407,1.512605,1.9747235,2.0743302,1.3559322,1.3333333,1.2432012,1.8011527,1.4900662,1.9753086,1.1575239,0.5483208,1.1923688,0.9936766,1.6815035,2.0072993,1.9267823,1.7179024,1.6042781,1.2833169,1.0752688
杏和醫院,1.4848289,1.0416667,1.1964736,1.171875,1.2903226,1.8697614,1.3368984,1.1867583,1.1472275,1.3480392,0.9535919,1.5557476,2.244389,1.9396552,1.6004415,1.084991,1.6410256,1.2008734,1.452514,0.8933263,1.4380531,0.8316008,1.1680144,1.1070111,1.6428193,0.8369602,1.3164557,0.7886435,1.1086475,1.591043,1.3534617,0.9428033,1.278488,1.0526316,1.3617525,1.2273212
邱外科醫院,1.3257576,1.1857708,2,0.6410256,2.2779043,1.9313305,1.4198783,1.0683761,1.4198783,2.2123894,1.511335,0.4115226,0.5102041,0.3968254,0.6928406,0.4878049,0,1.2173913,0.8016032,0.6224066,1.3565891,0.3824092,0.331675,0.5847953,0.8350731,0.9118541,1.2867647,0.4219409,1.0964912,0.4651163,0.3913894,1.026694,0.6122449,0.913242,1.0504202,0.8
建佑醫院,2.6217228,2.3469388,2.5723473,2.7292576,2.7128157,1.9436346,2.1682567,2.3508137,1.8304432,2.0134228,1.5120968,2.6130653,2.2682446,3.0918728,0.7239819,2.08901,1.6888889,2.4038462,1.9029496,1.9699812,2.9136316,2.0276498,1.8939394,1.9230769,1.9900498,1.6837482,1.5948963,2.0054695,1.7335766,1.7632242,1.7152659,3.3505155,1.6908213,2.0833333,2.1215043,2.2770398
高雄市立民生醫院,0,0,0,0,1.0279001,1.510989,1.2032086,1.4064698,1.6107383,1.2919897,1.4360313,1.8387553,1.344086,1.2895662,1.8427518,0.8652658,1.8137848,1.2847966,1.734104,1.1464968,0.8403361,1.2345679,1.6982364,1.2727273,1.0055866,1.1801731,1.1267606,1.3184584,1.1709602,0.7683864,1.3808976,1.368301,1.4115092,0.5958292,1.0416667,1.3015184
高雄市立岡山醫院,1.4758676,1.5911873,1.356507,1.2903226,1.0270775,1.3274336,1.9555556,1.5828678,1.4605203,2.0427553,2.7109974,1.8248175,1.5391791,1.5776699,1.6949153,2.7764247,2.8455285,3.4615385,2.8192371,1.8508438,1.9839142,1.8604651,2.0924574,2.8012685,2.3005384,1.7354289,2.0114943,1.5726179,1.701507,2.1571649,1.5455951,2.2130726,1.5647922,2.581262,2.3560209,3.1036297
