H1,H2,H3,H1lat,H1lng,H2lat,H2lng,H3lat,H3lng,month,during
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-12,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-08,1
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2015-03,1
國軍高雄總醫院岡山分院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.789421,120.285284,22.7658449,120.3644145,22.7668213,120.365415, 2016-04,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-10,1
健仁醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.7237039,120.3291328,22.7658449,120.3644145,22.7668213,120.365415, 2016-10,1
衛生福利部旗山醫院, 高雄榮民總醫院, 中國醫藥大學附設醫院,22.8806447,120.4833323,22.677537,120.322504,24.1577471,120.6805136, 2015-10,1
國軍高雄總醫院左營分院, 高雄榮民總醫院, 天主教聖功醫療財團法人聖功醫院,22.701404,120.290419,22.677537,120.322504,22.6333516,120.3239848, 2015-08,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-10,1
高雄市立小港醫院, 財團法人私立高雄醫學大學附設中和紀念醫院, 長庚醫療財團法人高雄長庚紀念醫院,22.5674103,120.3633174,22.6460019,120.3095808,22.6496635,120.3561438, 2015-03,1
高雄市立大同醫院, 財團法人私立高雄醫學大學附設中和紀念醫院, 長庚醫療財團法人高雄長庚紀念醫院,22.6270346,120.2973261,22.6460019,120.3095808,22.6496635,120.3561438, 2015-11,1
建佑醫院, 邱外科醫院, 高雄市立小港醫院,22.50382,120.38668,22.6145888,120.2973907,22.5674103,120.3633174, 2016-01,1
高雄市立聯合醫院, 高雄榮民總醫院, 天主教聖功醫療財團法人聖功醫院,22.6548642,120.2911822,22.677537,120.322504,22.6333516,120.3239848, 2014-01,1
國軍高雄總醫院岡山分院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.789421,120.285284,22.7658449,120.3644145,22.7668213,120.365415, 2016-06,1
天主教聖功醫療財團法人聖功醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6333516,120.3239848,22.6496635,120.3561438,22.6285225,120.3631415, 2015-07,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-08,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-10,1
國軍高雄總醫院岡山分院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.789421,120.285284,22.7658449,120.3644145,22.7668213,120.365415, 2016-05,1
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2015-10,1
高雄市立岡山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.7967203,120.2946263,22.7658449,120.3644145,22.7668213,120.365415, 2016-04,1
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2015-02,1
國軍高雄總醫院岡山分院, 長庚醫療財團法人高雄長庚紀念醫院, 國軍高雄總醫院岡山分院,22.789421,120.285284,22.6496635,120.3561438,22.789421,120.285284, 2015-06,1
