Id,Source,Target,Type,action,weight
1,大東醫院,長庚醫療財團法人高雄長庚紀念醫院,Directed,import,1
2,大東醫院,長庚醫療財團法人高雄長庚紀念醫院,Directed,import,1
3,大東醫院,財團法人私立高雄醫學大學附設中和紀念醫院,Directed,import,1
4,大東醫院,長庚醫療財團法人高雄長庚紀念醫院,Directed,import,1
5,大東醫院,長庚醫療財團法人高雄長庚紀念醫院,Directed,import,1
6,大東醫院,國軍高雄總醫院附設民眾診療處,Directed,import,1
7,大東醫院,國軍高雄總醫院附設民眾診療處,Directed,import,1
8,大東醫院,高雄市立小港醫院,Directed,import,1
9,大東醫院,長庚醫療財團法人高雄長庚紀念醫院,Directed,import,1
10,大東醫院,高雄市立大同醫院,Directed,import,1
11,大東醫院,國軍高雄總醫院附設民眾診療處,Directed,import,1
12,大東醫院,長庚醫療財團法人高雄長庚紀念醫院,Directed,import,1
13,大東醫院,長庚醫療財團法人高雄長庚紀念醫院,Directed,import,1
14,大東醫院,長庚醫療財團法人高雄長庚紀念醫院,Directed,import,1
15,大東醫院,長庚醫療財團法人高雄長庚紀念醫院,Directed,import,1
16,大東醫院,長庚醫療財團法人高雄長庚紀念醫院,Directed,import,1
17,大東醫院,國軍高雄總醫院附設民眾診療處,Directed,import,1
18,大東醫院,長庚醫療財團法人高雄長庚紀念醫院,Directed,import,1
19,大東醫院,長庚醫療財團法人高雄長庚紀念醫院,Directed,import,1
20,大東醫院,國軍高雄總醫院附設民眾診療處,Directed,import,1
21,大東醫院,長庚醫療財團法人高雄長庚紀念醫院,Directed,import,1
22,大東醫院,國軍高雄總醫院附設民眾診療處,Directed,import,1
23,大東醫院,國軍高雄總醫院附設民眾診療處,Directed,import,1
24,大東醫院,長庚醫療財團法人高雄長庚紀念醫院,Directed,import,1
25,大東醫院,長庚醫療財團法人高雄長庚紀念醫院,Directed,import,1
26,大東醫院,國軍高雄總醫院附設民眾診療處,Directed,import,1
27,大東醫院,國軍高雄總醫院附設民眾診療處,Directed,import,1
28,大東醫院,長庚醫療財團法人高雄長庚紀念醫院,Directed,import,1
29,大東醫院,長庚醫療財團法人高雄長庚紀念醫院,Directed,import,1
