Id,Source,Target,Type,action,weight
1,00004A85V1tKDO6KVMKGZKGbqRaNXA==,國軍高雄總醫院附設民眾診療處,Directed,export,1
2,0001A83ADWaD7gS7ZEXZPJgclh9P/g==,衛生福利部旗山醫院,Directed,export,1
3,0001B844G3eJZHP+LGnBuS5+WZJc1w==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
4,0005B349uxPQVWaqtLe26PHRrepMjA==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
5,00071577wY616DN3kqjdn7ngYODRIQ==,高雄市立岡山醫院,Directed,export,1
6,000FD4D2MPXc6laRGbYQvc2M3gBvqw==,高雄市立小港醫院,Directed,export,1
7,0010D0A4U1Ab7OFzH1odqiyMpioK+Q==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
8,0010DC64h2uQam0x+4UCQzKBbp4wAQ==,衛生福利部旗山醫院,Directed,export,1
9,0011E9FDvGPgSi9FeAK8UuBJlgCj8w==,衛生福利部旗山醫院,Directed,export,1
10,001824522voJBsC5qJAOysU2oi0aMQ==,衛生福利部旗山醫院,Directed,export,1
11,00222956L2aoLTPZYR00wOSaXSDF/w==,國軍高雄總醫院左營分院,Directed,export,1
12,00275AB0nAq4Kh+I18pBdlWxr2TyxA==,國軍高雄總醫院岡山分院,Directed,export,1
13,0027986FyxRtmM73dewWL4PkPl0ixA==,高雄市立大同醫院,Directed,export,1
14,002FCED3A4iHmj/hn+GYCohc+NfrtA==,天主教聖功醫療財團法人聖功醫院,Directed,export,1
15,00322FC0smYbHOGx4aTdKhWVxtFy2w==,高雄榮民總醫院,Directed,export,1
16,00349843z4ngs0a0kgYKVJEGjyKHWA==,衛生福利部旗山醫院,Directed,export,1
17,00355773igIAY5q6PlTp0ntVsJQ0cQ==,高雄市立大同醫院,Directed,export,1
18,00359ED8G3eJZHP+LGlnPeoYDg4r5A==,義大醫療財團法人義大醫院,Directed,export,1
19,003610DDigIAY5q6PlTXgqhGQhNtwA==,高雄市立岡山醫院,Directed,export,1
20,00398ED4XFc3TCNUR1DBjLtF28uQ+w==,高雄市立小港醫院,Directed,export,1
21,003BE4C3L2aoLTPZYR16hF+xqWmXMA==,高雄市立大同醫院,Directed,export,1
22,003DE6E5M1yqOhJfU7dCfZOQTitgzg==,義大醫療財團法人義大醫院,Directed,export,1
23,00401346igIAY5q6PlTRcQg4k1vAkg==,義大醫療財團法人義大醫院,Directed,export,1
24,00405738nAq4Kh+I18pXTQuE3eaKhg==,義大醫療財團法人義大醫院,Directed,export,1
25,00409F2Dh2uQam0x+4W0P8muMzq1Pw==,義大醫療財團法人義大醫院,Directed,export,1
26,00409F2Dh2uQam0x+4W0P8muMzq1Pw==,衛生福利部旗山醫院,Directed,export,1
27,0043ED1BMPXc6laRGbawynbd9RHGJQ==,高雄市立民生醫院,Directed,export,1
28,0044C166DWaD7gS7ZEWs8OdR/EmQFQ==,衛生福利部旗山醫院,Directed,export,1
29,0046FEAEz4ngs0a0kgYV9rx4mXTtjg==,高雄市立大同醫院,Directed,export,1
30,0049ACA3SJ7sdRj056NpA7VOWleT2Q==,健仁醫院,Directed,export,1
31,0050A3F2Bhhex9MB0B7LJJb/4SK3WQ==,義大醫療財團法人義大醫院,Directed,export,1
32,005758C1Y4hHbM2wZ/ShQ8Nzx+G56g==,高雄市立聯合醫院,Directed,export,1
33,005ECC21wY616DN3kqiFClLdcEn1zg==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
34,005FF8C0oyjNhA9fVxCPnoeDvOMEpw==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
35,0069C4F0h2uQam0x+4VnE83AMVRNXg==,衛生福利部旗山醫院,Directed,export,1
36,006F4FDEDWaD7gS7ZEVQrXIi0yJ0pQ==,衛生福利部旗山醫院,Directed,export,1
37,00730233DLmaF8dHSNL3icbC8KS8lw==,財團法人私立高雄醫學大學附設中和紀念醫院,Directed,export,1
38,00741271433xwL/6ndQJAda9pRvQLQ==,建佑醫院,Directed,export,1
39,0077A0D1igIAY5q6PlTnJZKieZHsDA==,高雄市立岡山醫院,Directed,export,1
40,007AD03EhsP9luX6apIgncCOdOaO7Q==,杏和醫院(高雄),Directed,export,1
41,007B4FF57f3iNcBold1H1/+aAl4erA==,阮綜合醫療社團法人阮綜合醫院,Directed,export,1
42,007CD042U1Ab7OFzH1prtQXow8XnDA==,建佑醫院,Directed,export,1
43,0084952BnAq4Kh+I18qzM2NS1kQ7IA==,健仁醫院,Directed,export,1
44,00860B498+3qpO/z407GaKEJ8jFDDw==,高雄市立聯合醫院,Directed,export,1
